Rank,Player_Name,Position,Team,Age,Birth_Year,Matches_Played,Matches_Started,Minutes_Played,Ninety_Minute_Equivalents,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Player_ID,Assists_Per_90,Goal_Contributions_Per_90,Goals_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goal_Contributions_Per_90
436,Rodrigo Palacio,FW,ar Argentina,32.0,1982,5,0,164,1.8,0,0,0,0,0,0,0,0,8d8178ac,0.0,0.0,0.0,0.0,0.0
437,Jerry Palacios,FW,hn Honduras,32.0,1982,1,0,51,0.6,0,0,0,0,0,0,1,0,24cc7b5f,0.0,0.0,0.0,0.0,0.0
438,Wilson Palacios,MF,hn Honduras,29.0,1984,2,2,132,1.5,0,0,0,0,0,0,2,1,58df81fc,0.0,0.0,0.0,0.0,0.0
439,Gabriel Paletta,DF,it Italy,28.0,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,cc3477f4,0.0,0.0,0.0,0.0,0.0
440,Sokratis Papastathopoulos,DF,gr Greece,26.0,1988,4,4,390,4.3,1,0,1,1,0,0,1,0,b682dcf6,0.0,0.23,0.23,0.23,0.23
441,Marco Parolo,MF,it Italy,29.0,1985,2,0,57,0.6,0,0,0,0,0,0,0,0,ed5886d2,0.0,0.0,0.0,0.0,0.0
442,Rui Patrício,GK,pt Portugal,26.0,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,79b0d6a0,0.0,0.0,0.0,0.0,0.0
443,Paulinho,MF,br Brazil,25.0,1988,6,5,383,4.3,0,0,0,0,0,0,0,0,bb7337cc,0.0,0.0,0.0,0.0,0.0
444,Pedro,FW,es Spain,26.0,1987,2,1,103,1.1,0,0,0,0,0,0,0,0,3ca7254a,0.0,0.0,0.0,0.0,0.0
445,Carlos Peña,MF,mx Mexico,24.0,1990,1,0,12,0.1,0,0,0,0,0,0,0,0,f7381739,0.0,0.0,0.0,0.0,0.0
446,Pepe,DF,pt Portugal,31.0,1983,2,2,126,1.4,0,0,0,0,0,0,0,1,c906ce0f,0.0,0.0,0.0,0.0,0.0
447,Oribe Peralta,FW,mx Mexico,30.0,1984,4,4,298,3.3,1,1,2,1,0,0,0,0,5e6758f3,0.3,0.6,0.3,0.3,0.6
448,Álvaro Pereira,DF,uy Uruguay,28.0,1985,3,3,204,2.3,0,0,0,0,0,0,0,0,1b0aaf11,0.0,0.0,0.0,0.0,0.0
449,João Pereira,DF,pt Portugal,30.0,1984,3,3,240,2.7,0,0,0,0,0,0,1,0,aefd0c5b,0.0,0.0,0.0,0.0,0.0
450,Maxi Pereira,DF,uy Uruguay,30.0,1984,3,2,224,2.5,0,0,0,0,0,0,0,1,6e592fa4,0.0,0.0,0.0,0.0,0.0
451,Enzo Pérez,MF,ar Argentina,28.0,1986,3,2,218,2.4,0,0,0,0,0,0,0,0,6d27cfc2,0.0,0.0,0.0,0.0,0.0
452,Ivan Perišić,FW,hr Croatia,25.0,1989,3,3,257,2.9,2,1,3,2,0,0,0,0,6fe90922,0.35,1.05,0.7,0.7,1.05
453,Robin van Persie,FW,nl Netherlands,30.0,1983,6,6,544,6.0,4,0,4,3,1,1,2,0,3fcab3a8,0.0,0.66,0.66,0.5,0.5
454,Mauricio Pinilla,FW,cl Chile,30.0,1984,3,0,47,0.5,0,0,0,0,0,0,1,0,33bd231e,0.0,0.0,0.0,0.0,0.0
455,Gerard Piqué,DF,es Spain,27.0,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,adfc9123,0.0,0.0,0.0,0.0,0.0
456,Andrea Pirlo,MF,it Italy,35.0,1979,3,3,270,3.0,0,0,0,0,0,0,0,0,71c5f16f,0.0,0.0,0.0,0.0,0.0
457,Miralem Pjanić,MF,ba Bosnia–Herz,24.0,1990,3,3,270,3.0,1,0,1,1,0,0,0,0,ad6df2d5,0.0,0.33,0.33,0.33,0.33
458,Stipe Pletikosa,GK,hr Croatia,35.0,1979,3,3,270,3.0,0,0,0,0,0,0,0,0,38a1b57c,0.0,0.0,0.0,0.0,0.0
459,Lukas Podolski,FW,de Germany,29.0,1985,2,1,54,0.6,0,0,0,0,0,0,0,0,88f0a9a0,0.0,0.0,0.0,0.0,0.0
460,Paul Pogba,MF,fr France,21.0,1993,5,4,354,3.9,1,1,2,1,0,0,1,0,867239d3,0.25,0.51,0.25,0.25,0.51
461,Mehrdad Pooladi,DF,ir IR Iran,27.0,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0006a865,0.0,0.0,0.0,0.0,0.0
462,Hélder Postiga,FW,pt Portugal,31.0,1982,1,1,15,0.2,0,0,0,0,0,0,0,0,c8504093,0.0,0.0,0.0,0.0,0.0
463,Danijel Pranjić,DF,hr Croatia,32.0,1981,2,2,163,1.8,0,1,1,0,0,0,0,0,38929ff9,0.55,0.55,0.0,0.0,0.55
464,Juan Quintero,FW,co Colombia,21.0,1993,3,1,94,1.0,1,0,1,1,0,0,0,0,540d0b37,0.0,0.96,0.96,0.96,0.96
465,Mohammed Rabiu,MF,gh Ghana,24.0,1989,3,3,222,2.5,0,0,0,0,0,0,1,0,f4a9eb92,0.0,0.0,0.0,0.0,0.0
466,Ivan Rakitić,MF,hr Croatia,26.0,1988,3,3,270,3.0,0,1,1,0,0,0,1,0,89f951b5,0.33,0.33,0.0,0.0,0.33
467,Ramires,MF,br Brazil,27.0,1987,7,2,250,2.8,0,1,1,0,0,0,1,0,4cce2c67,0.36,0.36,0.0,0.0,0.36
468,Gastón Ramírez,FW,uy Uruguay,23.0,1990,2,0,51,0.6,0,1,1,0,0,0,0,0,2c851997,1.76,1.76,0.0,0.0,1.76
